Employee Name,Email,Phone,Department,Role,Salary,Joining Date,Availability Status,Languages Spoken,Assigned Region,Employment Type,Country,City,Address
Samantha Cruz,samantha.cruz@email.com,9123456789,Travel Operations,Travel Agent,28000,01/15/2023,Assigned,Filipino;English,Philippines,Full-Time,Philippines,Quezon City,"23 Mabuhay St, Quezon City"
John Dela Rosa,john.delarosa@email.com,9234567890,Finance,Billing Analyst,35000,04/10/2022,On Leave,English;Tagalog,Philippines,Full-Time,Philippines,San Juan,"45 Freedom Rd, San Juan"
Maria Gutierrez,maria.gutierrez@email.com,9345678901,Support,Customer Service Executive,24000,08/01/2023,On Leave,Filipino;Tagalog,Philippines,Part-Time,Philippines,Palayan,"78 Peace Ave, Palayan"
Carlo Mendoza,carlo.mendoza@email.com,9456789012,Management,Manager,60000,03/12/2021,Available,English;Tagalog,Philippines,Full-Time,Philippines,Alaminos,"12 Market St, Alaminos"
Angela Ramos,angela.ramos@email.com,9567890123,Logistics,Transportation Manager,40000,09/19/2022,Available,English;Filipino,Philippines,Contract,Philippines,Angeles City,"89 Hillside Dr, Angeles City"
Leo Fernandez,leo.fernandez@email.com,9678901234,Travel Operations,Guide,26000,07/05/2023,On Leave,Tagalog;English,Philippines,Full-Time,Philippines,Quezon City,"102 Bayanihan Rd, Quezon City"
Sofia dela Vega,sofia.vega@email.com,9789012345,Finance,Finance Executive,37000,06/14/2022,Assigned,English;French,Philippines,Contract,Philippines,San Juan,"55 Commonwealth Ave, San Juan"
Paolo Navarro,paolo.navarro@email.com,9890123456,Logistics,Accommodation Manager,32000,10/28/2021,Available,Filipino;English,Philippines,Full-Time,Philippines,Palayan,"4 Sunrise Blvd, Palayan"
Kristine Gomez,kristine.gomez@email.com,9901234567,Support,Support Staff,23000,11/07/2023,On Leave,English;Tagalog,Philippines,Part-Time,Philippines,Alaminos,"14 Mabini St, Alaminos"
Mark Lopez,mark.lopez@email.com,9012345678,Travel Operations,Tour Coordinator,29000,12/01/2022,Available,Filipino;Tagalog,Philippines,Contract,Philippines,Angeles City,"66 Rizal Ave, Angeles City"
Lara Aquino,lara.aquino@email.com,9134567890,Management,Operations Supervisor,50000,02/15/2023,Assigned,English;Tagalog,Philippines,Full-Time,Philippines,Quezon City,"79 Katipunan Ave, Quezon City"
Ronald Torres,ronald.torres@email.com,9245678901,Finance,Payment Processor,31000,05/23/2023,Available,Tagalog;Filipino,Philippines,Full-Time,Philippines,San Juan,"3 Central St, San Juan"
Camille Padilla,camille.padilla@email.com,9356789012,Logistics,Logistics Coordinator,34000,01/09/2022,On Leave,Filipino;English,Philippines,Full-Time,Philippines,Palayan,"91 Spring Dr, Palayan"
Jayson Cruz,jayson.cruz@email.com,9467890123,Travel Operations,Driver,25000,03/05/2024,On Leave,Tagalog;English,Philippines,Full-Time,Philippines,Alaminos,"6 Del Pilar St, Alaminos"
Erica Villanueva,erica.villanueva@email.com,9578901234,Support,Customer Service Executive,24000,06/18/2022,Available,English;Tagalog,Philippines,Contract,Philippines,Quezon City,"88 Unity Rd, Quezon City"
Bryan Castillo,bryan.castillo@email.com,9689012345,Management,Admin,45000,09/11/2021,Assigned,English;Filipino,Philippines,Full-Time,Philippines,Angeles City,"27 Victory Ln, Angeles City"
Tin Castillo,tin.castillo@email.com,9790123456,Travel Operations,Guide,26000,07/30/2023,On Leave,Filipino;English,Philippines,Part-Time,Philippines,Palayan,"58 Sunrise Ave, Palayan"
Louie Gonzales,louie.gonzales@email.com,9801234567,Logistics,Transportation Manager,39000,08/21/2022,Available,Tagalog;English,Philippines,Contract,Philippines,Alaminos,"109 Mabini Blvd, Alaminos"
Grace Lim,grace.lim@email.com,9912345678,Finance,Finance Executive,37000,10/19/2022,Available,English;Tagalog,Philippines,Full-Time,Philippines,Quezon City,"16 Liberty St, Quezon City"
Vincent Agustin,vincent.agustin@email.com,9023456789,Management,Manager,60000,12/01/2021,Available,Filipino;English,Philippines,Full-Time,Philippines,San Juan,"90 Freedom Blvd, San Juan"
