Customer Name,Email,Phone,Date of Birth,Country,City
Maria Santos,maria.santos@email.com,1912345678,1990-04-12,Philippines,Quezon City
Juan Dela Cruz,juan.cruz@email.com,1923456789,1985-06-22,Philippines,San Juan
Ana Reyes,ana.reyes@email.com,1934567890,1995-09-18,Philippines,Alaminos
Mark Lopez,mark.lopez@email.com,1945678901,1988-01-04,Philippines,Angeles City
Kristine Gomez,kristine.gomez@email.com,1956789012,1992-03-25,Philippines,Palayan
Carlo Mendoza,carlo.mendoza@email.com,1967890123,1996-11-08,Philippines,San Juan
Angela Ramos,angela.ramos@email.com,1978901234,1991-07-14,Philippines,Quezon City
Leo Fernandez,leo.fernandez@email.com,1989012345,1989-12-19,Philippines,Angeles City
Sofia dela Vega,sofia.vega@email.com,1990123456,1997-08-02,Philippines,Palayan
Paolo Navarro,paolo.navarro@email.com,1901234567,1993-02-05,Philippines,Alaminos
Grace Lim,grace.lim@email.com,1913456789,1987-10-20,Philippines,Quezon City
Vincent Agustin,vincent.agustin@email.com,1924567890,1990-05-16,Philippines,Angeles City
Lara Aquino,lara.aquino@email.com,1935678901,1994-04-07,Philippines,Palayan
Ronald Torres,ronald.torres@email.com,1946789012,1991-06-23,Philippines,Alaminos
Camille Padilla,camille.padilla@email.com,1957890123,1986-09-12,Philippines,San Juan
Jayson Cruz,jayson.cruz@email.com,1968901234,1988-11-29,Philippines,Quezon City
Erica Villanueva,erica.villanueva@email.com,1979012345,1992-07-01,Philippines,Angeles City
Bryan Castillo,bryan.castillo@email.com,1980123456,1993-01-13,Philippines,Palayan
Tin Castillo,tin.castillo@email.com,1991234567,1995-12-03,Philippines,Alaminos
Louie Gonzales,louie.gonzales@email.com,1902345678,1989-03-15,Philippines,San Juan
